지역,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug
경기 성남시 분당구,98.05,98.112,98.179,98.229,98.227,98.261,98.404,98.51,98.549,98.553,98.513,98.604,98.69,98.822,98.887,99.008,99.045,99.212,99.318,99.397,99.674,99.958,99.991,100.108,100,100.067,100.114,100.141,100.332,100.363,100.481,100.798,100.925,100.999,101.17,101.204,101.764,102.081,102.309,102.371,102.552,102.803,102.911,103.645,103.842,105.14,105.711,106.173,106.889,107.327,107.604,107.798,107.986,108.065,108.401,108.775,109.286,109.508,109.85,110.222,110.698,111.022,111.355,111.798,112.105,112.393,112.708,112.941,113.161,113.451
경기 의정부시,96.978,97.118,97.128,97.16,97.358,97.424,97.503,97.604,97.737,97.835,97.913,98.014,98.088,98.194,98.257,98.305,98.406,98.574,98.748,99.006,99.211,99.459,99.705,99.845,100,100.085,100.161,100.245,100.526,100.811,100.985,101.215,101.433,101.65,101.794,101.958,102.112,102.319,102.493,102.657,102.948,103.256,103.532,103.809,104.112,104.472,104.754,105.001,105.376,105.677,105.9,106.21,106.584,106.827,107.137,107.478,107.691,107.916,108.189,108.434,108.712,109.019,109.401,109.731,110.088,110.488,110.916,111.225,111.535,111.899
경기 안양시 만안구,98.404,98.85,99.444,99.216,98.808,98.233,98.23,98.314,98.172,98.479,99.061,99.456,100.478,100.412,99.759,99.815,99.69,100.031,100.266,100.261,100.049,100.177,100.177,100.047,100,100.405,100.713,100.801,101.19,101.685,101.786,101.982,102.35,102.777,103.053,103.347,103.866,104.397,105.089,105.231,105.272,105.404,105.86,106.135,106.477,106.57,107.135,107.436,107.933,108.325,108.759,109.101,109.539,110.236,110.776,111.248,111.636,112.479,112.775,113.293,113.56,113.97,114.187,114.776,114.841,115.154,115.603,116.064,116.777,116.866
경기 안양시 동안구,96.645,96.604,96.775,97.169,97.497,97.458,97.805,98.141,98.237,98.276,98.608,98.921,98.935,98.781,98.841,99.347,99.63,99.694,99.837,99.019,99.051,99.162,99.483,100,100,100.174,100.196,100.435,100.638,100.906,100.906,101.168,101.335,101.506,101.69,101.845,102.084,102.478,102.761,102.845,102.845,103.09,103.323,103.449,103.943,104.424,104.713,105.379,106.704,107.012,107.236,107.236,107.445,107.648,107.972,108.562,109.087,109.75,110.237,111.087,111.426,111.794,112.146,112.891,113.303,113.631,114.047,114.222,114.557,114.908
경기 부천시,,,,,,,,,,,,,,,,,,,,,99.883,99.953,99.82,99.865,100,100.081,100.159,100.284,100.546,100.921,101.26,101.599,101.863,102.173,102.413,102.906,103.197,103.513,103.71,103.93,104.123,104.315,104.638,104.883,105.226,105.536,105.715,106.096,106.357,106.7,106.971,107.359,107.669,108.072,108.467,108.844,109.14,109.463,109.866,110.379,110.817,111.127,111.604,112.064,112.441,112.794,113.097,113.408,113.844,114.297
경기 부천시 원미구,100,99.751,99.922,100.089,100.59,100.788,101.211,101.208,100.93,100.972,101.157,101.332,101.486,101.685,101.769,101.912,102.047,102.017,102.086,102.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기 부천시 소사구,100,99.935,100.136,100.185,100.315,100.475,100.672,100.728,100.872,100.618,100.692,100.657,100.612,100.656,100.656,100.636,100.751,100.746,100.786,100.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기 광명시,94.332,94.395,94.503,94.687,94.845,95.073,95.121,95.216,95.748,96.117,96.624,96.894,97.063,97.342,97.342,97.453,97.662,97.662,98.185,98.465,98.465,98.975,99.317,99.684,100,100.09,100.303,100.434,100.579,101.296,101.316,101.864,101.949,102.378,102.744,103.136,103.565,103.789,104.352,104.911,105.071,105.289,105.062,105.481,106.151,106.674,107.294,107.89,108.559,109.084,109.442,109.442,109.527,109.969,110.748,111.682,112.162,112.955,113.468,113.659,114.745,116.112,116.597,117.266,118.279,119.065,119.527,120.151,121.082,121.81
경기 평택시,95.577,95.621,95.836,95.884,95.839,95.806,96.085,96.327,96.578,96.731,96.998,97.29,97.38,97.484,97.509,97.621,98.091,98.176,98.311,98.672,98.974,99.17,99.368,99.651,100,100.196,100.422,100.421,100.679,101.909,102.333,103.1,104.312,105.286,106.334,106.806,107.611,108.082,108.558,109.292,110.337,110.964,111.721,112.183,112.721,113.331,113.759,113.978,114.11,114.377,114.668,115.103,115.17,115.94,116.153,116.53,117.106,117.511,117.998,118.226,118.377,118.513,118.874,118.96,119.444,119.602,119.831,120.04,120.419,120.649
경기 동두천시,98.477,98.614,98.618,98.632,98.796,98.86,98.822,98.842,98.918,98.914,98.963,99.049,99.132,99.198,99.279,99.116,99.207,99.281,99.363,99.488,99.572,99.718,99.818,99.885,100,100.066,100.119,100.168,100.306,100.482,100.557,100.743,100.744,100.729,100.756,100.853,100.889,100.983,101.012,101.109,101.225,101.481,101.714,102.009,102.237,102.44,102.592,102.732,102.914,103.15,103.382,103.425,103.612,103.795,103.955,104.157,104.4,104.601,104.775,105.03,105.282,105.407,105.583,105.848,105.957,106.093,106.257,106.428,106.615,106.769
