역번호,호선,역명,역주소(새주소),구,법정동,행정동
2613,6,불광,은평구 통일로  723-1 (대조동),은평구,대조동,대조동
2614,6,독바위,은평구 불광로 129-1 (불광동),은평구,불광동,불광1동
2615,6,연신내,은평구 통일로  849 (갈현동),은평구,갈현동,갈현1동
2616,6,구산,은평구 연서로 137-1 (구산동),은평구,구산동,역촌동
2617,6,새절,은평구 증산로 400 (신사동),은평구,신사동,응암3동
2618,6,증산,은평구 증산로 306 (증산동),은평구,증산동,북가좌2동
2619,6,디지털미디어시티,은평구 수색로 175 (증산동),은평구,증산동,증산동
2620,6,월드컵경기장,마포구 월드컵로 240 (성산동),마포구,성산동,성산2동
2621,6,마포구청,마포구 월드컵로 190 (성산동),마포구,성산동,성산2동
2622,6,망원,마포구 월드컵로 77 (망원동),마포구,망원동,망원1동
2623,6,합정,마포구 양화로  45 (서교동),마포구,서교동,서교동
2624,6,상수,마포구 독막로 85 (상수동),마포구,상수동,서강동
2625,6,광흥창,마포구 독막로  165 (창전동),마포구,창전동,서강동
2626,6,대흥,마포구 대흥로  85 (대흥동),마포구,대흥동,용강동
2627,6,공덕,마포구 백범로  200(공덕동),마포구,공덕동,염리동
2628,6,효창공원앞,용산구 백범로 287 (효창동),용산구,효창동,효창동
2629,6,삼각지,용산구 한강대로  180 (한강로1가),용산구,한강로1가,한강로동
2630,6,녹사평,용산구 녹사평대로 195 (용산동4가),용산구,용산동4가,용산2가동
2631,6,이태원,용산구 이태원로 177 (이태원동),용산구,이태원동,이태원1동
2632,6,한강진,용산구 이태원로 287 (한남동),용산구,한남동,한남동
2633,6,버티고개,중구 다산로 38 (신당동),중구,신당동,신당동
2634,6,약수,중구 다산로  155 (신당동),중구,신당동,신당동
2635,6,청구,중구 청구로 77 (신당동),중구,신당동,신당동
2636,6,신당,중구 퇴계로  431-1 (신당동),중구,신당동,신당동
2637,6,동묘앞,종로구 종로 359 (숭인동),종로구,숭인동,숭인1동
2638,6,창신,종로구 지봉로 112 (창신동),종로구,창신동,창신3동
2639,6,보문,성북구 보문로 116 (보문동1가),성북구,보문동1가,보문동
2640,6,안암,성북구 고려대로 89 (안암동5가),성북구,안암동5가,안암동
2641,6,고려대,성북구 종암로 1 (종암동),성북구,종암동,종암동
2642,6,월곡,성북구 월곡로 107 (하월곡동),성북구,하월곡동,월곡2동
2643,6,상월곡,성북구 화랑로 157 (상월곡동),성북구,상월곡동,월곡2동
2644,6,돌곶이,성북구 화랑로 243 (석관동),성북구,석관동,석관동
2645,6,석계,노원구 화랑로 347-1 (월계동),노원구,월계동,월계3동
2646,6,태릉입구,노원구 동일로 992-1 (공릉동),노원구,공릉동,공릉1동
2647,6,화랑대,노원구 화랑로 510 (공릉동),노원구,공릉동,공릉2동
2648,6,봉화산,중랑구 신내로 232 (신내동),중랑구,신내동,신내2동
2649,6,신내,중랑구 용마산로136길 33 (신내동),중랑구,신내동,망우본동
2712,7,도봉산,도봉구 도봉로 964-40 (도봉동),도봉구,도봉동,도봉2동
2713,7,수락산,노원구 동일로 1662 (상계동),노원구,상계동,상계1동
2714,7,마들,노원구 동일로 1530-1 (상계동),노원구,상계동,상계8동
2715,7,노원,노원구 상계로 69-1 (상계동),노원구,상계동,상계2동
2716,7,중계,노원구 동일로 1308-1 (중계동),노원구,중계동,중계2.3동
2717,7,하계,노원구 동일로 1196 (하계동),노원구,하계동,하계2동
2718,7,공릉,노원구 동일로 1074 (공릉동),노원구,공릉동,공릉1동
2719,7,태릉입구,노원구 동일로 992-1 (공릉동),노원구,공릉동,공릉1동
2720,7,먹골,중랑구 동일로 901 (묵동),중랑구,묵동,묵2동
2721,7,중화,중랑구 동일로 797 (중화동),중랑구,중화동,중화2동
2722,7,상봉,중랑구 망우로  297 (상봉동),중랑구,상봉동,상봉2동
2723,7,면목,중랑구 면목로 407(면목동),중랑구,면목동,면목본동
2724,7,사가정,중랑구 사가정로 393 (면목동),중랑구,면목동,면목7동
2725,7,용마산,중랑구 용마산로 227 (면목동),중랑구,면목동,면목4동
2726,7,중곡,광진구 능동로 417 (중곡동),광진구,중곡동,중곡3동
2727,7,군자,광진구 천호대로 550 (능동),광진구,능동,능동
2728,7,어린이대공원,광진구 능동로 210 (화양동),광진구,화양동,화양동
2729,7,건대입구,광진구 능동로110(화양동),광진구,화양동,화양동
2730,7,뚝섬유원지,광진구 능동로 10 (자양동),광진구,자양동,자양3동
2731,7,청담,강남구 학동로 508 (청담동),강남구,청담동,청담
2732,7,강남구청,강남구 학동로 346 (삼성동),강남구,삼성동,삼성2동
2733,7,학동,강남구 학동로 180 (논현동),강남구,논현동,논현2동
2734,7,논현,강남구 학동로 102(논현동),강남구,논현동,논현1동
2735,7,반포,서초구 신반포로 241(잠원동),서초구,잠원동,잠원동
2736,7,고속터미널,서초구 신반포로  188 (반포동),서초구,반포동,반포4동
2737,7,내방,서초구 서초대로 103 (방배동),서초구,방배동,방배1동
2738,7,이수,동작구 사당로 310 (사당동),동작구,사당동,사당2동
2739,7,남성,동작구 사당로 218 (사당동),동작구,사당동,사당3동
2740,7,숭실대입구,동작구 상도로  378 (상도동),동작구,상도동,상도1동
2741,7,상도,동작구 상도로 272 (상도1동),동작구,상도1동,상도1동
2742,7,장승배기,동작구 상도로 188 (상도동),동작구,상도동,상도2동
2743,7,신대방삼거리,동작구 상도로 76 (대방동) ,동작구,대방동,대방동
2744,7,보라매,동작구 상도로 2 (대방동),동작구,대방동,대방동
2745,7,신풍,영등포구 신풍로 27 (신길동),영등포구,신길동,영등포본동
2746,7,대림,영등포구 도림로 137 (대림동),영등포구,대림동,대림3동
2747,7,남구로,구로구 도림로 7 (구로동),구로구,구로동,구로4동
2748,7,가산디지털단지,금천구 벚꽃로 309 (가산동),금천구,가산동,가산동
2751,7,천왕,구로구 오리로 1154(오류동),구로구,오류동,수궁동
2752,7,온수,구로구 경인로3길 64 (온수동),구로구,온수동,수궁동
2811,8,암사,강동구 올림픽로 776 (암사동),강동구,암사동,암사1동
2812,8,천호,강동구 천호대로 997 (천호동),강동구,천호동,천호2동
2813,8,강동구청,강동구 올림픽로 550 (성내동),강동구,성내동,성내1동
2814,8,몽촌토성,송파구 올림픽로 383 (신천동),송파구,신천동,방이2동
2815,8,잠실,송파구 올림픽로  265 (잠실동),송파구,잠실동,잠실6동
2816,8,석촌,송파구 송파대로 439 (석촌동),송파구,석촌동,석촌동
2817,8,송파,송파구 송파대로 354 (가락동),송파구,가락동,송파2동
2818,8,가락시장,송파구 송파대로  257 (가락동),송파구,가락동,가락본동
2819,8,문정,송파구 송파대로 179 (문정동),송파구,문정동,문정1동
2820,8,장지,송파구 송파대로 82 (장지동),송파구,장지동,문정2동
2821,8,복정,송파구 송파대로 6 (장지동),송파구,장지동,문정2동
